line,priority,category,current,action,target
3560,medium,bold_structural_label,**Scenario:** Your supervisor has asked you to prepare a short internal risk note before Thursday's implementation review meeting. Use the data to identify what appears to be going wrong and what action may now be needed.,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
3562,medium,bold_structural_label,"**Writing task:** Using the data in the table, write a 3–4 sentence risk assessment paragraph. Your paragraph should:",Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
3573,low,theory_subsection,#### 1. Describing Risk,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
3577,high,writing_goal_label,"**Writing goal:** Clearly identify the nature and source of a risk using neutral, precise language.",Convert to writing-goal component,`writing-goal`: production target before writing task.
3579,medium,example_label,**Example:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
3589,high,activity_heading,#### Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3602,low,theory_subsection,#### 2. Explaining Impact and Proposing Mitigation,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
3604,high,writing_goal_label,**Writing goal:** Explain the consequence of a risk and propose a realistic step to reduce it.,Convert to writing-goal component,`writing-goal`: production target before writing task.
3606,medium,example_label,**Example:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
3617,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
3625,high,activity_heading,#### Error Identification & Correction (C4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3640,high,activity_heading,#### Rewrite the Original Text (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3652,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3655,high,activity_heading,#### Scenario-Based Risk Assessment (D2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3657,high,transfer_reminder_callout,"> **Transfer reminder:** Keep the sequence visible in your draft: evidence or issue first, then likely impact, then response. If those functions are mixed together, the assessment often starts to sound vague or overstated.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
3678,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3683,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3704,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3709,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3718,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3733,high,activity_heading,#### Editing Exercise — Conditional and Hedging Structures (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3737,low,bold_label_review,**Key structures:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3747,low,bold_label_review,**Practice:** Rewrite each sentence using an appropriate hedging or conditional structure. Avoid overstating certainty.,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3759,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3764,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3781,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3784,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3812,high,activity_heading,#### Contrastive Warm-Up (A6),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3816,low,bold_label_review,**Version A:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3819,low,bold_label_review,**Version B:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3831,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3833,medium,minor_label_heading,##### Original (Assumes Too Much Knowledge),Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.
3837,medium,minor_label_heading,##### Improved (Clear Multi-Audience Message),Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.
3841,low,bold_label_review,**Compare the two versions. Identify improvements in:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3848,high,process_rationale_callout,"> **Why this works:** The improved version shows what changes across audiences and what stays stable. The core instruction remains the same for everyone, but the supporting context is adjusted so that less-informed readers can still understand the message without being left behind.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
3852,high,activity_heading,#### Annotated Model (B4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3874,low,bold_label_review,**Reflection:** Why does separating audience signals into distinct sentences or phrases improve clarity? What might happen if the writer tried to address all audiences in a single combined statement?,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3880,low,theory_subsection,#### 1. Audience Signals and Layered Explanation,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
3884,high,writing_goal_label,**Writing goal:** Address different readers explicitly and provide information appropriate to each audience.,Convert to writing-goal component,`writing-goal`: production target before writing task.
3886,medium,example_label,**Examples:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
3891,high,activity_heading,#### Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3902,low,theory_subsection,#### 2. Avoiding Assumed Knowledge,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
3906,high,writing_goal_label,**Writing goal:** Ensure that readers who did not attend earlier meetings or receive previous messages can still understand the message fully.,Convert to writing-goal component,`writing-goal`: production target before writing task.
3908,medium,example_label,**Examples:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
3913,high,activity_heading,#### Paragraph-Level Transformation (C5),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3921,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
3933,high,activity_heading,#### Rewrite the Original Message (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3945,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
3948,high,activity_heading,#### Two-Audience Version Task (D4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3950,high,transfer_reminder_callout,"> **Transfer reminder:** Keep the core message stable across both versions. What should change is the amount of context, the explicitness of audience signals, and the level of explanation needed for each reader group.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
3965,low,bold_label_review,**Version A**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3968,low,bold_label_review,**Version B**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3973,high,activity_heading,#### Multi-Part Portfolio Task (E4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
3975,low,bold_label_review,**Shared scenario:** A national coordination office has updated its interagency referral process. The changes affect both internal processing staff and external partner agencies. The new process launches in two weeks.,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3977,low,bold_label_review,**Task 1 — Internal notice (80–100 words):** Write a brief internal notice for your own office's processing team. Assume they attended the briefing session and are familiar with the background.,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3979,low,bold_label_review,"**Task 2 — External notice (160–200 words):** Write a formal notice for partner agencies who have not attended any briefing. Include full background, an explanation of the changes, required actions, and contact details for queries.",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3989,low,bold_label_review,**Document 1**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3992,low,bold_label_review,**Document 2**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
3997,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4006,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4021,high,activity_heading,#### Editing Workshop — Paragraph-Level (G2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4040,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4045,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4056,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4059,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4087,high,activity_heading,#### Real Document Analysis (A5),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4109,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4111,medium,minor_label_heading,##### Original (Weak and Unsupported),Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.
4115,medium,minor_label_heading,##### Improved (Policy-Aligned Rationale),Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.
4119,low,bold_label_review,**Compare the two versions. Identify improvements in:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4126,high,process_rationale_callout,"> **Why this works:** The improved rationale is more persuasive because it links three elements clearly: the policy requirement, the operational problem, and the benefit of the proposed change. The reasoning is visible rather than implied.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
4130,high,activity_heading,#### Reading-to-Write Input (B6),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4145,medium,bold_structural_label,"**Writing task:** Using only the information in the extract above, write a plain-language rationale explaining why your office should prioritise completing portal registration before the deadline. Your rationale should:",Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4158,low,theory_subsection,#### 1. Referencing Policy or Guidelines,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
4162,high,writing_goal_label,"**Writing goal:** Ground the rationale in existing rules, requirements, or organisational objectives.",Convert to writing-goal component,`writing-goal`: production target before writing task.
4164,medium,example_label,**Examples:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
4170,high,activity_heading,#### Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4181,low,theory_subsection,#### 2. Building the Rationale: Reasoning and Benefits,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
4183,high,writing_goal_label,"**Writing goal:** Provide objective reasons grounded in process needs, and explain how the change improves outcomes.",Convert to writing-goal component,`writing-goal`: production target before writing task.
4185,medium,example_label,**Examples:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
4190,high,activity_heading,#### Expansion Task (C7),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4199,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
4211,high,activity_heading,#### Rewrite the Original Rationale (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4222,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4225,high,activity_heading,#### Template-Guided Writing (D3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4227,high,transfer_reminder_callout,"> **Transfer reminder:** Use the template as a logic chain rather than as fixed wording. A strong rationale moves from recommendation to policy support to operational reasoning to benefit, without leaving any link implicit.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
4231,low,bold_label_review,**Recommendations:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4236,medium,bold_structural_label,**Template:**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4247,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4252,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4274,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4279,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4288,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4303,high,activity_heading,#### Track-Change Simulation (G3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4310,low,bold_label_review,**Original:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4315,low,bold_label_review,**Proposed changes:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4325,high,student_response_placeholder_label,**Write Your Decisions**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4330,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4348,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4351,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4388,high,activity_heading,#### Sorting / Categorisation (A3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4396,low,bold_label_review,**Statements:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4407,medium,bold_structural_label,**Discuss:** What distinguishes the language in the professional column from the language in the unprofessional column?,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4413,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4415,low,bold_label_review,**Original (Unbalanced and Vague)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4419,low,bold_label_review,"**Improved (Balanced, Structured Evaluation)**",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4421,low,bold_label_review,"> **Overall Assessment:** The revised document provides clearer guidance in several sections, particularly the updated chronology table. The structure is generally easier to follow than the previous version.",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4423,low,bold_label_review,> **Strengths:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4427,low,bold_label_review,> **Areas for Improvement:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4431,medium,bold_structural_label,> **Recommendation:** Clarifying key definitions and improving the logical flow between steps would significantly enhance overall usability.,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4433,low,bold_label_review,**Identify improvements in:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4440,high,process_rationale_callout,"> **Why this works:** The improved evaluation is more credible because it separates observation from judgement. It names specific strengths and weaknesses, supports them with evidence, and frames recommendations as constructive improvements rather than personal criticism.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
4442,high,activity_heading,#### Annotated Model (B4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4446,medium,bold_structural_label,**Annotations:**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4455,medium,bold_structural_label,**Discuss:** Why is providing at least one genuine strength essential in formal evaluations — even when the document has significant weaknesses?,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4461,high,activity_heading,"#### Sentence Rewriting — Objective, Neutral Language (C3)",Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4465,high,writing_goal_label,**Writing goal:** Describe strengths and weaknesses without judgmental language.,Convert to writing-goal component,`writing-goal`: production target before writing task.
4467,low,bold_label_review,**Useful expressions:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4474,low,bold_label_review,"**Rewrite the following sentences using neutral, professional language.**",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4481,high,activity_heading,#### Error Identification & Correction (C4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4492,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
4504,high,activity_heading,#### Model Rewriting (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4518,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4521,high,activity_heading,#### Revision Chain (D6),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4523,high,transfer_reminder_callout,"> **Transfer reminder:** As you revise, check whether each claim matches the strength of the evidence. If the problem is local, describe it locally. If the document has both strengths and weaknesses, make both visible.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
4533,low,bold_label_review,**Revision checklist:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4547,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4552,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4572,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4577,high,activity_heading,#### Comparative Peer Review (F2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4591,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4605,high,activity_heading,#### Track-Change Simulation (G3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4624,medium,bold_structural_label,**Discuss:** Which changes improve tone? Which improve precision? Are any changes unnecessary?,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4628,high,student_response_placeholder_label,**Write Your Decisions**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4633,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4644,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4647,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4672,high,activity_heading,#### Prediction Task (A4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4686,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4688,low,bold_label_review,**Original (Overly General)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4692,low,bold_label_review,**Improved (Concise Executive Brief)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4694,medium,bold_structural_label,"> **Overview:** The working group reviewed the proposed revision to the applicant communication form, focusing on clarity, consistency, and feasibility.",Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4696,low,bold_label_review,> **Key Points:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4701,low,bold_label_review,"> **Implications:** Without revision, inconsistent applicant communication may continue across offices, leading to processing delays and increased error rates.",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4703,medium,bold_structural_label,> **Recommendation:** Proceed with targeted revisions to terminology and remove the redundant verification steps before circulation.,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4705,low,bold_label_review,**Identify improvements in:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4711,high,process_rationale_callout,"> **Why this works:** The improved brief foregrounds decision-relevant content. Instead of retelling the discussion, it selects the points an executive needs in order to understand the issue, its implications, and the recommended next step.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
4713,high,activity_heading,#### Data Interpretation Input (B7),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4719,low,bold_label_review,**Applicant Processing — Q3 Summary**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4728,medium,bold_structural_label,"**Task:** Write three Key Points that an executive would need in order to understand and act on this data. Focus on patterns, concerns, and implications — not on listing all figures.",Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4734,high,activity_heading,#### Sentence Rewriting — Writing Clear Overviews and Key Points (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4738,high,writing_goal_label,**Writing goal:** Provide immediate context and distil information to essentials.,Convert to writing-goal component,`writing-goal`: production target before writing task.
4740,low,bold_label_review,**Useful expressions — Overviews:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4746,low,bold_label_review,**Useful expressions — Key Points:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4752,low,bold_label_review,**Rewrite the following sentences for an executive audience.**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4759,high,activity_heading,#### Paragraph-Level Transformation (C5),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4765,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
4777,high,activity_heading,#### Model Rewriting (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4790,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4793,high,activity_heading,#### Format Conversion (D7),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4795,high,transfer_reminder_callout,"> **Transfer reminder:** Group information by significance, not by the order in which comments were made. A strong executive brief selects what matters for the decision rather than reproducing the meeting record.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
4799,low,bold_label_review,**Meeting notes — 18 February**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
4816,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4821,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4842,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4847,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4857,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4869,high,activity_heading,#### Editing Workshop — Paragraph-Level (G2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4882,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4887,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4905,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
4908,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4933,high,activity_heading,#### Real Document Analysis (A5),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4937,medium,bold_structural_label,**Source 1 — Email from Office A (14 March)**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4940,medium,bold_structural_label,**Source 2 — Meeting notes (17 March)**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4943,medium,bold_structural_label,**Source 3 — Internal report (20 March)**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4946,medium,bold_structural_label,**Discuss:**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
4955,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
4957,low,bold_label_review,**Original (Listing Without Synthesis)**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
