line,priority,change_type,target_class,current_text,action,target_pattern,notes
3373,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
3374,high,normalize_placeholder_line,placeholder,{{PH-3: U12-D4-two-audience-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U12-D4-two-audience-draft}}
:::",Preserve the placeholder token exactly.
3378,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Role-Based Writing Task (E3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Role-Based Writing Task — Activity Focus (E3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3400,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
3401,high,normalize_placeholder_line,placeholder,{{PH-4: U12-E3-role-based-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U12-E3-role-based-write}}
:::",Preserve the placeholder token exactly.
3405,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Comparative Peer Review (F2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Comparative Peer Review — Activity Focus (F2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3416,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3450,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
3451,high,normalize_placeholder_line,placeholder,{{PH-3: U12-G2-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U12-G2-editing-rewrite}}
:::",Preserve the placeholder token exactly.
3455,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Real-World Task (H2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Real-World Task — Activity Focus (H2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3462,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
3463,high,normalize_placeholder_line,placeholder,{{PH-3: U12-H2-real-world-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U12-H2-real-world-draft}}
:::",Preserve the placeholder token exactly.
3465,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3483,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
3484,high,normalize_placeholder_line,placeholder,{{PH-4: U12-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U12-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
3486,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3514,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Prediction Task (A4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Prediction Task — Activity Focus (A4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3518,medium,normalize_bold_structural_label,semantic-label,**Scenario:**,Convert bold structural label to compact label style or Div if block-level,**Scenario:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
3527,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3531,medium,convert_or_review_blockquote_group,semantic-div,"> *""There are some risks with the new procedure. People might be confused and things might be delayed. We need to check everything carefully.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
3535,medium,convert_or_review_blockquote_group,semantic-div,"> *""The revised procedure presents two key risks. First, the removal of the preliminary verification step may increase the likelihood of incomplete submissions, resulting in additional processing time. Second, the updated terminology has not yet been standardised across agencies, which may lead to inconsistent interpretation during coordination. These risks may affect overall processing timelines; however, clear guidance and interagency briefing sessions can mitigate their impact.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
3544,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved paragraph separates four different jobs that weak risk writing often blurs together: identifying the risk, explaining its cause, showing the likely impact, and proposing mitigation. That makes the assessment more analytical and more useful for decision-making.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
3548,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Data Interpretation Input (B7),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Data Interpretation Input — Activity Focus (B7),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3560,medium,normalize_bold_structural_label,semantic-label,**Scenario:** Your supervisor has asked you to prepare a short internal risk note before Thursday's implementation review meeting. Use the data to identify what appears to be going wrong and what action may now be needed.,Convert bold structural label to compact label style or Div if block-level,**Scenario:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
3562,medium,normalize_bold_structural_label,semantic-label,"**Writing task:** Using the data in the table, write a 3–4 sentence risk assessment paragraph. Your paragraph should:",Convert bold structural label to compact label style or Div if block-level,**Writing Task:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
3579,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
3589,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Sentence Rewriting (C3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Sentence Rewriting — Activity Focus (C3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3606,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
3617,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
3625,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Error Identification & Correction (C4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Error Identification & Correction — Activity Focus (C4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3640,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Rewrite the Original Text (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Rewrite the Original Text — Activity Focus (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3652,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
3653,high,normalize_placeholder_line,placeholder,{{PH-2: U13-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U13-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
3657,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** Keep the sequence visible in your draft: evidence or issue first, then likely impact, then response. If those functions are mixed together, the assessment often starts to sound vague or overstated.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
3678,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
3679,high,normalize_placeholder_line,placeholder,{{PH-3: U13-D2-guided-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U13-D2-guided-draft}}
:::",Preserve the placeholder token exactly.
3683,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Scenario-Based Free Write (E1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Scenario-Based Free Write — Realistic Administrative Response (E1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3704,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
3705,high,normalize_placeholder_line,placeholder,{{PH-4: U13-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U13-E1-freer-write}}
:::",Preserve the placeholder token exactly.
3709,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Guided Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Guided Peer Review — Structured Feedback Exchange (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3718,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3759,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
3760,high,normalize_placeholder_line,placeholder,{{PH-2: U13-G1-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U13-G1-editing-rewrite}}
:::",Preserve the placeholder token exactly.
3764,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3781,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
3782,high,normalize_placeholder_line,placeholder,{{PH-4: U13-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U13-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
3784,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3831,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3835,medium,convert_or_review_blockquote_group,semantic-div,"> *""We shared the new instructions last week, so please start using the updated timeline. As you know, this fixes the issues identified earlier.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
3839,medium,convert_or_review_blockquote_group,semantic-div,"> *""We would like to confirm that the updated instructions circulated on 3 October should now be used for all applicant submissions. For colleagues already familiar with the revision, the main change concerns the applicant communication timeline in Section 2.2. For partner offices, we note that the revision was introduced to resolve inconsistencies identified in the previous version. Should any questions arise regarding the updated process, please feel free to contact our office.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
3848,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved version shows what changes across audiences and what stays stable. The core instruction remains the same for everyone, but the supporting context is adjusted so that less-informed readers can still understand the message without being left behind.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
3852,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Annotated Model (B4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Annotated Model — Activity Focus (B4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3856,medium,convert_or_review_blockquote_group,semantic-div,"> *""We would like to confirm that the updated instructions circulated on 3 October…""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
3859,medium,convert_or_review_blockquote_group,semantic-div,"> *""…should now be used for all applicant submissions.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
3862,medium,convert_or_review_blockquote_group,semantic-div,"> *""For colleagues already familiar with the revision…""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
3865,medium,convert_or_review_blockquote_group,semantic-div,"> *""For partner offices, we note that the revision was introduced to resolve inconsistencies…""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
3868,medium,convert_or_review_blockquote_group,semantic-div,"> *""Should any questions arise…""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
3871,medium,convert_or_review_blockquote_group,semantic-div,"> *""For colleagues already familiar with the revision…"" / ""For partner offices, we note that…""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
3880,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### 1. Audience Signals and Layered Explanation,Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### 1. Audience Signals and Layered Explanation — Activity Focus,Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3886,low,convert_label_to_div_or_label,example,**Examples:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
3891,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Sentence Rewriting (C3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Sentence Rewriting — Activity Focus (C3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3908,low,convert_label_to_div_or_label,example,**Examples:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
3913,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Paragraph-Level Transformation (C5),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Paragraph-Level Transformation — Activity Focus (C5),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3921,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
3933,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Rewrite the Original Message (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Rewrite the Original Message — Activity Focus (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3945,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
3946,high,normalize_placeholder_line,placeholder,{{PH-2: U14-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U14-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
3948,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Two-Audience Version Task (D4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Two-Audience Text Task — Activity Focus (D4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3950,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** Keep the core message stable across both versions. What should change is the amount of context, the explicitness of audience signals, and the level of explanation needed for each reader group.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
3966,high,normalize_placeholder_line,placeholder,{{PH-3: U14-D4-version-a}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U14-D4-version-a}}
:::",Preserve the placeholder token exactly.
3969,high,normalize_placeholder_line,placeholder,{{PH-3: U14-D4-version-b}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U14-D4-version-b}}
:::",Preserve the placeholder token exactly.
3973,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Multi-Part Portfolio Task (E4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Multi-Part Portfolio Task — Activity Focus (E4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
3990,high,normalize_placeholder_line,placeholder,{{PH-3: U14-E4-task-1}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U14-E4-task-1}}
:::",Preserve the placeholder token exactly.
3993,high,normalize_placeholder_line,placeholder,{{PH-4: U14-E4-task-2}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U14-E4-task-2}}
:::",Preserve the placeholder token exactly.
3997,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Guided Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Guided Peer Review — Structured Feedback Exchange (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4006,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4040,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
4041,high,normalize_placeholder_line,placeholder,{{PH-3: U14-G2-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U14-G2-editing-rewrite}}
:::",Preserve the placeholder token exactly.
4045,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4056,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
4057,high,normalize_placeholder_line,placeholder,{{PH-4: U14-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U14-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
4059,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4087,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Real Document Analysis (A5),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Real Document Analysis — Activity Focus (A5),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4109,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4113,medium,convert_or_review_blockquote_group,semantic-div,"> *""We should update the form because people don't like the old version. A new form would be better and easier to use.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
4117,medium,convert_or_review_blockquote_group,semantic-div,"> *""Updating the form will improve alignment with the revised guidelines issued in August, which require clearer terminology and updated data fields. The new format will also reduce the likelihood of incomplete submissions, supporting the agency's objective of improving processing efficiency. As a result, adopting the revised form is consistent with current policy and enhances overall workflow accuracy.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
4126,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved rationale is more persuasive because it links three elements clearly: the policy requirement, the operational problem, and the benefit of the proposed change. The reasoning is visible rather than implied.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
4145,medium,normalize_bold_structural_label,semantic-label,"**Writing task:** Using only the information in the extract above, write a plain-language rationale explaining why your office should prioritise completing portal registration before the deadline. Your rationale should:",Convert bold structural label to compact label style or Div if block-level,**Writing Task:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
4164,low,convert_label_to_div_or_label,example,**Examples:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
4170,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Sentence Rewriting (C3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Sentence Rewriting — Activity Focus (C3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4181,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### 2. Building the Rationale: Reasoning and Benefits,Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### 2. Building the Rationale: Reasoning and Benefits — Activity Focus,Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4185,low,convert_label_to_div_or_label,example,**Examples:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
4190,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Expansion Task (C7),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Expansion Task — Activity Focus (C7),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4199,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
4211,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Rewrite the Original Rationale (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Rewrite the Original Rationale — Activity Focus (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4222,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
4223,high,normalize_placeholder_line,placeholder,{{PH-2: U15-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U15-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
4227,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** Use the template as a logic chain rather than as fixed wording. A strong rationale moves from recommendation to policy support to operational reasoning to benefit, without leaving any link implicit.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
4236,medium,normalize_bold_structural_label,semantic-label,**Template:**,Convert bold structural label to compact label style or Div if block-level,**Template:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
4247,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
4248,high,normalize_placeholder_line,placeholder,{{PH-3: U15-D3-guided-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U15-D3-guided-draft}}
:::",Preserve the placeholder token exactly.
4252,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Scenario-Based Free Write (E1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Scenario-Based Free Write — Realistic Administrative Response (E1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4274,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
4275,high,normalize_placeholder_line,placeholder,{{PH-4: U15-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U15-E1-freer-write}}
:::",Preserve the placeholder token exactly.
4279,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Guided Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Guided Peer Review — Structured Feedback Exchange (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4288,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4303,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Track-Change Simulation (G3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Track-Change Simulation — Activity Focus (G3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4325,high,normalize_placeholder_line,placeholder,**Write Your Decisions**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Decision Notes 
:::",Preserve placeholder token exactly if present.
4326,high,normalize_placeholder_line,placeholder,{{PH-2: U15-G3-decision-notes}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U15-G3-decision-notes}}
:::",Preserve the placeholder token exactly.
4330,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4348,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
4349,high,normalize_placeholder_line,placeholder,{{PH-4: U15-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U15-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
4351,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4388,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Sorting / Categorisation (A3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Sorting / Categorisation — Activity Focus (A3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4413,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
4417,medium,convert_or_review_blockquote_group,semantic-div,"> *""The revised document is not good. It has many problems and needs to be improved. Some parts are unclear.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
