paragraph_type,forms,total,line,form,kind,text
title:worked example:,bold-only=20,20,860,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,1142,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,1508,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,1866,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,2173,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,2484,bold-only,bold-title,**Worked Example:**
title:worked example:,bold-only=20,20,2782,bold-only,bold-title,**Worked Example:**
title:write your own complex sentence - sentence-control practice,heading-4=1,1,246,heading-4,heading,#### Write Your Own Complex Sentence — Sentence-Control Practice (D2)
title:writing a concise rationale,heading-4=1,1,6581,heading-4,heading,#### 2. Writing a Concise Rationale
title:writing a summary opening,heading-4=1,1,6974,heading-4,heading,#### 1. Writing a Summary Opening
title:writing clear issue descriptions,heading-4=1,1,7007,heading-4,heading,#### 2. Writing Clear Issue Descriptions
title:writing next steps,heading-4=1,1,7072,heading-4,heading,#### 4. Writing Next Steps
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,36,numbered,numbered-list,2. *The meeting participants agreed to revise the guidelines which were noted by several offices to be inconsistent with previous instructions that require further study.*
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,38,numbered,numbered-list,"3. *Since the system update was completed last month but the manual was not updated, staff reported errors that made processing applications difficult which resulted in delays.*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,218,numbered,numbered-list,"2. *Since several offices raised concerns about the inconsistency, we will draft a revised explanation to ensure alignment.* → Rewrite using **Pattern 1** (main idea → reason)."
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,220,numbered,numbered-list,"3. *We must confirm whether the translation is final, and we must also check whether the correct version was submitted, and this is needed before the examination can proceed.* → Use **segmentation** to make the ideas clearer."
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,222,numbered,numbered-list,4. *The department will review the file once the updated form has been received and after the confirmation from the regional office has been processed.* → Rewrite using **Pattern 2** (purpose clause → main action).
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,725,numbered,numbered-list,"2. *""The review committee raised several questions following the submission. To address these, we have prepared a summary of outstanding concerns and will distribute it before Monday's meeting.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,727,numbered,numbered-list,"3. *""The translation was delayed. The office was informed. There is a meeting next week. We will discuss the applicant file.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,729,numbered,numbered-list,"4. *""Because the translation was delayed, we notified the relevant office and requested an extension. The issue will be reviewed at next week's meeting.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,731,numbered,numbered-list,"5. *""Several errors were found in the document. The document was sent for correction. The team reviewed the corrected version. Approval was given.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,733,numbered,numbered-list,"6. *""Several errors were identified and the document was returned for correction. Once the revised version had been reviewed and approved, it was forwarded to the relevant department.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,735,numbered,numbered-list,"7. *""We confirmed the applicant's details. There is a new procedure. The deadline is Friday.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,737,numbered,numbered-list,"8. *""We have confirmed the applicant's details and are now ready to proceed. In line with the updated procedure, the completed file must be submitted by Friday.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,976,numbered,numbered-list,"2. *""There were delays in the translation process. Some information was missing. The office did not receive the updated version. We must check which version is correct.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,7666,numbered,numbered-list,2. **Email from Office B:** The office is experiencing delays because some staff continue to use an outdated version of the applicant form. The updated form was received but has not been implemented consistently.
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,7668,numbered,numbered-list,3. **Extract from a meeting summary:** Multiple offices raised questions about applicant communication timelines. No resolution was recorded and no action points were assigned.
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,7670,numbered,numbered-list,"4. **Updated instructions (issued this week):** Circular 2024/12 introduces new terminology, revised sequencing steps, and a new verification requirement. All offices are required to acknowledge receipt within five days."
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,7672,numbered,numbered-list,"5. **Internal supervisor note:** *""Please prepare a concise consolidated report summarising current implementation issues and proposing next steps.""*"
