paragraph_type,forms,total,line,form,kind,text
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,222,numbered,numbered-list,4. *The department will review the file once the updated form has been received and after the confirmation from the regional office has been processed.* → Rewrite using **Pattern 2** (purpose clause → main action).
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,732,numbered,numbered-list,"2. *""The review committee raised several questions following the submission. To address these, we have prepared a summary of outstanding concerns and will distribute it before Monday's meeting.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,734,numbered,numbered-list,"3. *""The translation was delayed. The office was informed. There is a meeting next week. We will discuss the applicant file.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,736,numbered,numbered-list,"4. *""Because the translation was delayed, we notified the relevant office and requested an extension. The issue will be reviewed at next week's meeting.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,738,numbered,numbered-list,"5. *""Several errors were found in the document. The document was sent for correction. The team reviewed the corrected version. Approval was given.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,740,numbered,numbered-list,"6. *""Several errors were identified and the document was returned for correction. Once the revised version had been reviewed and approved, it was forwarded to the relevant department.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,742,numbered,numbered-list,"7. *""We confirmed the applicant's details. There is a new procedure. The deadline is Friday.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,744,numbered,numbered-list,"8. *""We have confirmed the applicant's details and are now ready to proceed. In line with the updated procedure, the completed file must be submitted by Friday.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,988,numbered,numbered-list,"2. *""There were delays in the translation process. Some information was missing. The office did not receive the updated version. We must check which version is correct.""*"
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,7688,numbered,numbered-list,2. **Email from Office B:** The office is experiencing delays because some staff continue to use an outdated version of the applicant form. The updated form was received but has not been implemented consistently.
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,7690,numbered,numbered-list,3. **Extract from a meeting summary:** Multiple offices raised questions about applicant communication timelines. No resolution was recorded and no action points were assigned.
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,7692,numbered,numbered-list,"4. **Updated instructions (issued this week):** Circular 2024/12 introduces new terminology, revised sequencing steps, and a new verification requirement. All offices are required to acknowledge receipt within five days."
SUSPICIOUS_NUMBERED_START,starts above 1 after boundary,1,7694,numbered,numbered-list,"5. **Internal supervisor note:** *""Please prepare a concise consolidated report summarising current implementation issues and proposing next steps.""*"
